Real estate generally includes all the following EXCEPT:	1	1	Elements Of Real And Personal Property	Law And Practice	Common law treats annual crops, those that must be planted each year, as the personal property of the person who planted and tended them. When a farm is sold, trees, air rights, and mineral rights may all convey, but the annual crops (fructus industriales, or emblements)—lacking effective contractual agreement to the contrary—are still the personal property of the tenant farmer or other person who planted them. The farmer may return and harvest them in season.	annual crops	air rights	trees	mineral rights		
A woman rents space in a commercial building where she operates a bookstore. In the bookstore, she has installed large reading tables fastened to the walls and bookshelves that create aisles from the front of the store to the back. These shelves are bolted to both the ceiling and the floor. Which of the following BEST characterizes the contents of the bookstore?	2	1	Elements Of Real And Personal Property	Law And Practice	Common law protects business tenants who install fixtures for their business by treating these trade fixtures as their personal property and giving tenants the right to remove them before the end of their lease. Any damage to the building due to removal of the fixtures must be repaired by the departing tenant. A licensee who participates in the sale of business properties should make known to purchasers what, if any, trade fixtures will not convey with the building.	The shelves and tables are trade fixtures and may properly be removed by the woman before her lease expires, and the tenant would be responsible to the landlord for any damage that their removal caused to the premises.	The shelves and tables are trade fixtures and will transfer when the property owner sells the building.	Because the woman is a tenant, the shelves and tables are fixtures and may not be removed except with the building owner’s permission.	Because the shelves and tables are attached to the building, they are treated the same as other fixtures.		
The term nonhomogeneity refers to:	3	1	Elements Of Real And Personal Property	Law And Practice	The characteristics of each property differ from one another; this is also called heterogeneity.<ul class="fyi">For your knowledge:     <li>Scarcity</li>     <li>Immobility</li>     <li>Indestructibility</li> </ul> 	uniqueness.	scarcity.	immobility.	indestructibility.		
Another term for personal property is:	4	1	Elements Of Real And Personal Property	Law And Practice	Chattels is another term for personal property. Fixtures, fructus industriales, and realty are all real property.	chattels.	realty.	fructus naturales.	fixtures.		
A property owner wants to use water from a river that runs through the property to irrigate a potato field. To do so, the owner is required by state law to submit an application to the Department of Water Resources describing in detail the plan for beneficial use of the water. If the department approves the owner’s application, it will issue a permit allowing a limited amount of river water to be diverted onto the property. Based on these facts, it can be assumed that this property owner’s state relies on which rule of law?	5	1	Elements Of Real And Personal Property	Law And Practice	Under the Doctrine of Prior Appropriation the right to use water is controlled by the state rather than by the landowner adjacent to water. <ul class="fyi">For your knowledge:     <li>Littoral Rights</li>     <li>Riparian Rights</li>     <li>Doctrine of Highest and Best Use</li> </ul> 	Littoral rights.	Riparian rights.	Doctrine of prior appropriation.	Doctrine of highest and best use.		
A man inherited a piece of vacant land, removed and sold all the topsoil, limestone, and gravel. At his death, he left the property to his daughter. Which is TRUE?	6	1	Elements Of Real And Personal Property	Law And Practice	The daughter inherits exactly what the man owned just before his death: a location on the earth’s surface, everything below it to the center of the earth, and the space above it toward infinity.	The daughter inherits the property as is.	The daughter inherits nothing because the property no longer exists.	The daughter owns the gravel, limestone, and topsoil, no matter where it is.	The man’s estate must restore the property to its original condition.		
In determining whether an item is real or personal property, a court would NOT consider which of the following?	7	1	Elements Of Real And Personal Property	Law And Practice	The overall test in determining whether an item is a Fixture or Real Property is the intention of the person installing it, how uniquely adapted the item is to the property in which it is installed; how the item was installed and the damage its removal would cause, and what the parties have agreed to. The original cost of the installation, although important to one or the other of the parties, is not considered in this decision.	The cost of the item when it was purchased.	Whether its removal would cause severe damage to the real estate.	Whether the item is clearly adapted to the real estate	Any relevant agreement of the parties in their contract of sale		
Which of the following is a physical characteristic of land?	8	1	Elements Of Real And Personal Property	Law And Practice	The ability to make Improvements, preference for the area, and relative Scarcity of similar property all are economic matters. The land’s Indestructibility is a physical matter.        	Indestructibility.	Improvements.	Area preference.	Scarcity.		
Which of the following describes the act by which real property can be converted into personal property?	9	1	Elements Of Real And Personal Property	Law And Practice	When we sever something, we cut it loose. Severing (felling) a tree from its roots converts it from realty—real(proper)ty—to personalty—personal(proper)ty. The process is severance. <ul class="fyi">For your knowledge:     <li>Severance</li>     <li>Accession</li>     <li>Conversion</li>     <li>Attachment</li> </ul>	Severance.	Accession.	Conversion.	Attachment.		
While moving into a newly purchased home, the buyer discovered that the seller had taken the ceiling fan that hung over the dining room table. The seller had not indicated that the ceiling fan would be removed, and the contract did not address this issue. Which statement is TRUE?	10	1	Elements Of Real And Personal Property	Law And Practice	Whatever Fixtures are present in the structure at the time of contract, and are not mentioned in the contract, convey (pass to the purchaser). Replacement fixtures are not personal property of the resident; they became real estate when annexed (attached) to the building. 	Ceiling fans are usually considered real estate.	The ceiling fan belongs to the seller.	Ceiling fans are considered trade fixtures.	Ceiling fans are considered personal property.		
